"event_name","module","trigger","purpose","required_params","priority"
"board_roll_start","Board","Player taps Roll","Track roll intent and dice spend","user_id; session_id; board_id; node_id_start; dice_id; dice_balance_before; roll_cost; is_forced_result; config_version","P0"
"board_roll_result","Board","Dice result is determined","Track result and movement distance","user_id; session_id; board_id; dice_id; dice_result; node_id_start; node_id_end; steps_moved; dice_balance_after; result_source","P0"
"board_tile_land","Board","Token lands on node","Track tile exposure and board position","user_id; session_id; board_id; node_id; tile_type; tile_rarity; is_first_land; path_id; region_id","P0"
"tile_event_start","Board","Landing tile event begins","Track tile event flow start","user_id; session_id; board_id; node_id; tile_type; event_id; reward_table_id","P0"
"tile_event_result","Board","Tile event resolves","Track tile outcome and reward/cost","user_id; session_id; board_id; node_id; tile_type; result; reward_type; reward_amount; cost_type; cost_amount; duration_sec","P0"
"board_branch_choice","Board","Player chooses path branch","Track route agency","user_id; session_id; board_id; node_id; branch_options; selected_next_node_id; previewed_rewards","P1"
"board_segment_complete","Board","Segment checkpoint reached","Track progression checkpoint","user_id; session_id; board_id; segment_id; rolls_since_segment_start; time_since_segment_start_sec; reward_type; reward_amount","P0"
"board_gate_blocked","Board","Player reaches locked gate without requirement","Track progression blocker","user_id; session_id; board_id; gate_id; requirement_type; requirement_amount; current_amount; gap","P0"
"dice_source","Economy","Dice granted","Track dice faucet","user_id; session_id; source_type; source_id; dice_amount; dice_balance_before; dice_balance_after","P0"
"dice_spend","Economy","Dice consumed for roll","Track dice sink","user_id; session_id; board_id; dice_id; dice_amount; dice_balance_before; dice_balance_after","P0"
"dice_empty","Economy","Player tries to roll without dice","Track roll blocker and monetization moment","user_id; session_id; board_id; dice_balance; next_free_dice_sec; offer_id_shown; source_screen","P0"
"board_reward_summary","Economy","Session or board segment ends","Aggregate board reward outcomes","user_id; session_id; board_id; rolls_count; coin_earned; dice_earned; gems_earned; materials_earned; event_tokens_earned","P1"
"map_progress_snapshot","Progression","Session start/end or segment complete","Track board/map progression","user_id; session_id; region_id; board_id; current_node_id; completed_segments; region_progress_percent; stars_total","P1"
"upgrade_result","Progression","Player upgrades landmark/character","Track meta sink and progress","user_id; session_id; upgrade_type; upgrade_id; level_before; level_after; cost_type; cost_amount; result","P0"
